Q5,Q5_3_TEXT,Q6,Q6_4_TEXT,Q7,Q13,Q10,Q13,Q12,Q11,
Why did you decide to major in Computer Science? - Selected Choice,Why did you decide to major in Computer Science? - Other - Text,How could the curriculum/teaching styles change to benefit your learning? - Selected Choice,How could the curriculum/teaching styles change to benefit your learning? - Other - Text,"When working on labs and programming projects, do you prefer to work individually or do you prefer to collaborate?","Did you know that there is a CPSC  Department Honor Code, and where to find it?","On average, how much time do you spend each week outside of class on a CPSC course?  Time includes studying notes, reading material, writing and debugging code for labs, designing, implementing, and debugging projects.",What is the highest level Computer Science course you have taken at UMW?,How would you scale your own programming skills?,"What types of classes would you like to see in
the future?",
"{""ImportId"":""QID5""}","{""ImportId"":""QID5_3_TEXT""}","{""ImportId"":""QID6""}","{""ImportId"":""QID6_4_TEXT""}","{""ImportId"":""QID7""}","{""ImportId"":""QID17""}","{""ImportId"":""QID13""}","{""ImportId"":""QID16""}","{""ImportId"":""QID15""}","{""ImportId"":""QID11_TEXT""}",
"love of programming,good job",,"exp,Incremental labs that connect to larger projects,periodic quizzes",,C,Yes,More than 8,200,Average,Cyber security,
Other,Not majoring in CPSC,"exp,Incremental labs that connect to larger projects,periodic quizzes",,I,Yes,2 to 4,200,Above Average,,
"love of programming,good job",,exp,,I,No,2 to 4,100,Average,I would like to see a game making oriented course,
good job,,exp,,C,No,6 to 8,200,Below Average,Beginner C++ classes,
love of programming,,,,C,Yes,4 to 6,400,Above Average,"iOS/Android mobile development, ethical hacking and penetration testing",
"love of programming,good job",,exp,,I,Yes,6 to 8,200,Above Average,Artificial Intelligence,
good job,,Incremental labs that connect to larger projects,,C,Yes,2 to 4,100,Below Average,more afternoon/night classes for sure.  As i work full time during the day,
love of programming,,periodic quizzes,,C,Yes,6 to 8,300,Average,,
love of programming,,Incremental labs that connect to larger projects,,C,Yes,6 to 8,400,Average,Windows Development,
good job,,"exp,Incremental labs that connect to larger projects,periodic quizzes",,I,Yes,2 to 4,300,Average,More XP classes,
"love of programming,good job",,"exp,periodic quizzes",,I,Yes,2 to 4,200,Average,More on cyber security ,
"love of programming,good job",,Incremental labs that connect to larger projects,,C,Yes,4 to 6,400,Above Average,Security related classes,
good job,,Other,Projects that are examples of what we would be doing in the field.,I,Yes,More than 8,300,Average,"More in depth computer security courses, virtual reality possibly, and a pc building course to go over components and what they do and various customizations on them.",
love of programming,,"exp,Incremental labs that connect to larger projects,periodic quizzes",,I,Yes,2 to 4,300,Average,,
Other,Non-major,periodic quizzes,,C,Yes,2 to 4,100,Below Average,,
good job,,Incremental labs that connect to larger projects,,C,No,More than 8,200,Average,More on digital design ,
Other,I'm minoring but both because it's interesting and because it's a good backup to find a job,"exp,periodic quizzes",,I,Yes,6 to 8,200,Average,Some more graphical stuff. More about making aesthetically pleasing programs,
Other,I am not a major,,,I,No,4 to 6,100,Average,An intro course specifically designed to prepare for the GIS programming course.,
"love of programming,good job",,periodic quizzes,,I,No,2 to 4,200,Average,"Full GNU/Linux immersion, more than 225",
love of programming,,"exp,Incremental labs that connect to larger projects,periodic quizzes",,C,Yes,6 to 8,200,Average,,
love of programming,,periodic quizzes,,I,Yes,More than 8,400,Above Average,AI (with deep learning),
"love of programming,good job",,Incremental labs that connect to larger projects,,I,Yes,2 to 4,400,Above Average,"A database class that actually spends it's time on databases. CPSC 350 is really a web development course covering websites backed by databases. Yes, you learn about databases in the process, but it's really only as a support topic for the main goal of building the website. A new database course should be created that only focuses on database things (i.e. SQL in depth, schema design, optimizing search algorithms, efficient data storage, etc.) Basically the skills you need as a DBA.",
love of programming,,"exp,Incremental labs that connect to larger projects,periodic quizzes",,I,Yes,6 to 8,400,Above Average,,
love of programming,,,,I,Yes,4 to 6,300,Above Average,,
love of programming,,"Incremental labs that connect to larger projects,periodic quizzes",,C,Yes,4 to 6,400,Average,,
love of programming,,"exp,Incremental labs that connect to larger projects,periodic quizzes",,I,Yes,6 to 8,400,Above Average,"I'd love more game-oriented courses, and for the prevalence of AI in electives to continue to grow",
love of programming,,Incremental labs that connect to larger projects,,I,Yes,4 to 6,300,Above Average,Data Science,
love of programming,,periodic quizzes,,I,Yes,More than 8,400,Above Average,,
"love of programming,good job",,Incremental labs that connect to larger projects,,C,No,2 to 4,200,Below Average,"more cybersecurity, cryptology, and artificial intellegence",
"love of programming,good job",,"exp,periodic quizzes",,C,Yes,More than 8,400,Average,"I would like to see more non-programming courses offered, ie the ethics course. ",
"love of programming,good job",,periodic quizzes,,I,Yes,6 to 8,400,Average,,
good job,,Incremental labs that connect to larger projects,,I,Yes,6 to 8,200,Average,,
Other,I am minor but I decided to minor because I wanted a good job,"exp,Incremental labs that connect to larger projects,periodic quizzes",,C,Yes,4 to 6,300,Average,More interactive classes ,
love of programming,,"exp,periodic quizzes,Other",Due dates. Not mastery learning,I,Yes,6 to 8,400,Average,More theory of computation and security classes,
